primary_type,district,latitude,longitude,date
THEFT,1,41.882013096,-87.628370441,2024-07-31 15:20:00 +0000 UTC
THEFT,1,41.87766908,-87.629284766,2019-01-05 20:45:00 +0000 UTC
SEX OFFENSE,1,41.87815451,-87.630131336,2012-03-03 17:00:00 +0000 UTC
ASSAULT,1,41.886039903,-87.624521539,2013-05-31 09:05:00 +0000 UTC
THEFT,1,41.884594402,-87.628650542,2001-06-02 12:15:00 +0000 UTC
THEFT,1,41.882446221,-87.627847897,2005-10-28 12:00:00 +0000 UTC
DECEPTIVE PRACTICE,1,41.880653112,-87.634396649,2012-05-09 04:00:00 +0000 UTC
THEFT,1,41.859982309,-87.620815406,2009-09-18 16:30:00 +0000 UTC
CRIMINAL DAMAGE,1,41.846801978,-87.623527134,2023-07-31 23:00:00 +0000 UTC
MOTOR VEHICLE THEFT,2,41.818662027,-87.599467639,2017-01-01 19:00:00 +0000 UTC
CRIMINAL DAMAGE,2,41.820742642,-87.601259884,2020-11-05 06:00:00 +0000 UTC
NARCOTICS,2,41.816598679,-87.619113763,2011-07-25 09:25:00 +0000 UTC
CRIMINAL DAMAGE,2,41.80223056,-87.607437887,2019-03-05 09:25:00 +0000 UTC
CRIMINAL DAMAGE,2,41.800100705,-87.620980383,2020-11-22 19:00:00 +0000 UTC
CRIMINAL TRESPASS,2,41.801895518,-87.58769156,2016-08-18 20:08:00 +0000 UTC
BATTERY,3,41.780157565,-87.620027909,2016-10-22 08:37:00 +0000 UTC
ASSAULT,3,41.779059693,-87.615596501,2007-09-10 08:00:00 +0000 UTC
BURGLARY,3,41.774154751,-87.614137116,2001-11-29 12:00:00 +0000 UTC
ROBBERY,3,41.772201047,-87.605892282,2001-02-27 05:32:37 +0000 UTC
NARCOTICS,3,41.765089765,-87.614044091,2011-02-13 11:03:00 +0000 UTC
THEFT,3,41.764728045,-87.561272312,2002-09-27 20:00:00 +0000 UTC
CRIMINAL DAMAGE,3,41.763842491,-87.565494524,2009-12-19 23:00:00 +0000 UTC
BURGLARY,4,41.753652461,-87.558070034,2005-05-09 20:05:12 +0000 UTC
ASSAULT,4,41.740470798,-87.558767233,2021-07-11 17:45:00 +0000 UTC
THEFT,4,41.738459129,-87.556314543,2016-12-30 00:00:00 +0000 UTC
WEAPONS VIOLATION,4,41.743851944,-87.562464188,2012-07-18 18:00:00 +0000 UTC
ROBBERY,4,41.732733557,-87.551320357,2005-11-10 09:25:00 +0000 UTC
BATTERY,4,41.742021179,-87.546627423,2016-11-12 07:30:00 +0000 UTC
BATTERY,4,41.727859003,-87.545598638,2018-03-11 02:00:00 +0000 UTC
NARCOTICS,4,41.720679058,-87.572352895,2014-09-02 12:06:00 +0000 UTC
ROBBERY,4,41.700957202,-87.564342597,2010-05-25 01:15:00 +0000 UTC
CRIMINAL DAMAGE,5,41.711746499,-87.621634453,2011-07-29 21:00:00 +0000 UTC
BURGLARY,5,41.704789637,-87.613702184,2018-02-08 20:30:00 +0000 UTC
CRIMINAL DAMAGE,5,41.705566113,-87.601077468,2001-01-21 20:30:00 +0000 UTC
NARCOTICS,5,41.683380677,-87.632728416,2007-04-01 13:20:29 +0000 UTC
OTHER OFFENSE,5,41.687126999,-87.623831592,2006-08-13 11:00:00 +0000 UTC
INTERFERENCE WITH PUBLIC OFFICER,5,41.682934155,-87.628819807,2012-08-14 11:00:00 +0000 UTC
CRIMINAL TRESPASS,5,41.692833841,-87.60431945,2006-02-04 20:10:00 +0000 UTC
BURGLARY,6,41.747461872,-87.664726973,2001-11-05 17:09:36 +0000 UTC
